Beam	Analysis Property	Design Property	Actual Ratio 	Allowable Ratio	Normalized Ratio (Actual/Allowable)	Clause	L/C	Ax in2	Iz in4	Iy in4	Ix in4
75	CHS 76.1X8.0	CHS 76.1X8.0	 0.132	 1.000	 0.132	EC-6.2.5    	3	 2.651	 2.427	 2.427	 4.853
74	CHS 60.3X6.3	CHS 60.3X6.3	 0.108	 1.000	 0.108	EC-6.2.5    	3	 1.659	 0.949	 0.949	 1.898
73	PFC180X90X26	PFC180X90X26	 0.169	 1.000	 0.169	EC-6.2.9.1  	3	 5.146	 43.654	 6.655	 0.320
72	PFC150X75X18	PFC150X75X18	 0.147	 1.000	 0.147	EC-6.2.9.1  	3	 3.534	 20.686	 3.147	 0.147
71	RHS 50X30X3.6	RHS 50X30X3.6	 0.063	 1.000	 0.063	EC-6.2.5    	1	 0.791	 0.370	 0.160	 0.000
70	CHS 42.4X4.0	CHS 42.4X4.0	 0.090	 1.000	 0.090	EC-6.2.5    	3	 0.749	 0.216	 0.216	 0.432
69	UA100X100X8 RA	UA100x50x6 RA	 0.596	 1.000	 0.596	EC-6.2.3 (T)	1	 1.350	 2.319	 0.240	 0.025
68	UA100X100X8 RA	UA100x50x6 RA	 0.530	 1.000	 0.530	EC-6.2.3 (T)	1	 1.350	 2.319	 0.240	 0.025
67	UA100X100X8 RA	UA100x50x6 RA	 0.504	 1.000	 0.504	EC-6.2.3 (T)	1	 1.350	 2.319	 0.240	 0.025
66	UA100X100X8 RA	UA100x50x6 RA	 0.646	 1.000	 0.646	EC-6.2.3 (T)	3	 1.350	 2.319	 0.240	 0.025
65	UA100X100X8 RA	UA100x50x6 RA	 0.267	 1.000	 0.267	EC-6.3.3-662	1	 1.350	 2.319	 0.240	 0.025
64	UA100X100X8 RA	UA100x50x6 RA	 0.539	 1.000	 0.539	EC-6.3.3-662	3	 1.350	 2.319	 0.240	 0.025
63	UA40X20X4	UA100x50x6	 0.548	 1.000	 0.548	EC-6.2.3 (T)	3	 1.350	 2.319	 0.240	 0.025
62	UA40X20X4	UA100x50x6	 0.547	 1.000	 0.547	EC-6.2.3 (T)	1	 1.350	 2.319	 0.240	 0.025
61	UA100X100X8 RA	UA100x50x6 RA	 0.161	 1.000	 0.161	EC-6.2.3 (T)	3	 1.350	 2.319	 0.240	 0.025
60	UA100X100X8 RA	UA100x50x6 RA	 0.845	 1.000	 0.845	EC-6.3.3-662	3	 1.350	 2.319	 0.240	 0.025
59	UB457X152X52	UB356X171X45	 0.687	 1.000	 0.687	EC-6.3.3-662	3	 8.882	 290.704	 19.484	 0.381
58	UB457X152X52	UB356X171X45	 0.592	 1.000	 0.592	EC-6.3.3-662	1	 8.882	 290.704	 19.484	 0.381
57	UB457X152X52	UB356X171X45	 0.721	 1.000	 0.721	EC-6.3.3-662	1	 8.882	 290.704	 19.484	 0.381
56	UB457X152X52	UB356X171X45	 0.721	 1.000	 0.721	EC-6.3.3-662	1	 8.882	 290.704	 19.484	 0.381
55	UB457X152X52	UB356X171X45	 0.585	 1.000	 0.585	EC-6.3.3-662	1	 8.882	 290.704	 19.484	 0.381
54	UB457X152X52	UB356X171X45	 0.482	 1.000	 0.482	EC-6.3.3-662	1	 8.882	 290.704	 19.484	 0.381
53	UB533X210X82	UB406X178X74	 0.829	 1.000	 0.829	EC-6.3.2 LTB	1	 14.648	 655.885	 37.239	 1.508
52	UB254X146X37	UB406X178X74	 0.951	 1.000	 0.951	EC-6.3.2 LTB	1	 14.648	 655.885	 37.239	 1.508
51	UB533X210X82	UB406X178X74	 0.914	 1.000	 0.914	EC-6.3.2 LTB	1	 14.648	 655.885	 37.239	 1.508
50	UB356X171X67	UB610X229X113	 1.035	 1.000	 1.035	EC-6.2.9.1  	3	 22.320	 2097.391	 82.406	 2.674
49	UB254X146X37	UB356X171X67	 0.854	 1.000	 0.854	EC-6.3.3-662	3	 13.253	 468.489	 32.674	 1.338
48	UC254X254X73	UC203X203X52	 0.643	 1.000	 0.643	EC-6.3.3-662	1	 10.277	 126.372	 42.765	 0.763
47	UC356X368X129	UC356X368X129	 0.903	 1.000	 0.903	EC-6.3.3-662	3	 25.420	 965.809	 350.766	 3.667
46	UA100X100X8 RA	UA100x50x6 RA	 0.662	 1.000	 0.662	EC-6.2.3 (T)	1	 1.350	 2.319	 0.240	 0.025
45	UA100X100X8 RA	UA100x50x6 RA	 0.586	 1.000	 0.586	EC-6.2.3 (T)	1	 1.350	 2.319	 0.240	 0.025
44	UA100X100X8 RA	UA100x50x6 RA	 0.574	 1.000	 0.574	EC-6.2.3 (T)	3	 1.350	 2.319	 0.240	 0.025
43	UA100X100X8 RA	UA100x50x6 RA	 0.795	 1.000	 0.795	EC-6.2.3 (T)	3	 1.350	 2.319	 0.240	 0.025
42	UA100X100X8 RA	UA100x50x6 RA	 0.313	 1.000	 0.313	EC-6.3.3-662	1	 1.350	 2.319	 0.240	 0.025
41	UA50X50X5	UA100x50x6	 0.354	 1.000	 0.354	EC-6.3.3-662	3	 1.350	 2.319	 0.240	 0.025
40	UA100X100X8 RA	UA100x50x6 RA	 0.549	 1.000	 0.549	EC-6.2.3 (T)	3	 1.350	 2.319	 0.240	 0.025
39	UA100X100X8 RA	UA100x50x6 RA	 0.545	 1.000	 0.545	EC-6.2.3 (T)	1	 1.350	 2.319	 0.240	 0.025
38	UA45X45X5	UA100x50x6	 0.192	 1.000	 0.192	EC-6.2.3 (T)	3	 1.350	 2.319	 0.240	 0.025
37	UA100X100X8 RA	UA100x50x6 RA	 1.009	 1.000	 1.009	EC-6.3.3-662	3	 1.350	 2.319	 0.240	 0.025
36	UB457X152X52	UB356X171X45	 0.585	 1.000	 0.585	EC-6.3.3-662	3	 8.882	 290.704	 19.484	 0.381
35	UB457X152X52	UB356X171X45	 0.606	 1.000	 0.606	EC-6.3.3-662	1	 8.882	 290.704	 19.484	 0.381
34	UB457X152X52	UB356X171X45	 0.734	 1.000	 0.734	EC-6.3.3-662	1	 8.882	 290.704	 19.484	 0.381
33	UB457X152X52	UB356X171X45	 0.734	 1.000	 0.734	EC-6.3.3-662	1	 8.882	 290.704	 19.484	 0.381
